,lower limit,upper limit,frequency
0,1,2,0
1,2,4,0
2,4,8,0
3,8,16,0
4,16,32,0
5,32,64,0
6,64,128,4
7,128,256,13
8,256,512,13
9,512,1024,56
10,1024,2048,101
11,2048,4096,238
12,4096,8192,450
13,8192,16384,970
14,16384,32768,1856
15,32768,65536,4337
16,65536,131072,10646
17,131072,262144,25845
18,262144,524288,55208
19,524288,1048576,100106
20,1048576,2097152,217777
21,2097152,4194304,91190
22,4194304,8388608,0
